9.990289032258064253e+03,1.000643483870967793e+04,9.994340645161290013e+03
1.002802064516129030e+04,1.000452258064516172e+04,1.004237161290322547e+04
9.973677419354839003e+03,1.003653419354838661e+04,1.000391870967741852e+04
9.954761290322579953e+03,1.000104903225806447e+04,1.001392258064516136e+04
9.962576774193548772e+03,9.943652903225805858e+03,1.003497935483870970e+04
1.005262193548387040e+04,1.003176516129032279e+04,9.998543225806452028e+03
9.986873548387096889e+03,1.004901161290322671e+04,9.943993548387095871e+03
9.984628387096774532e+03,1.004229032258064581e+04,1.001638322580645217e+04
9.977006451612904129e+03,9.955361290322580317e+03,1.000680774193548314e+04
9.968943225806451665e+03,9.971943225806451665e+03,9.967772903225806658e+03
1.001428387096774168e+04,1.002341032258064479e+04,9.984630967741935820e+03
1.004506451612903220e+04,1.002251225806451657e+04,9.990538064516129452e+03
1.002545935483870926e+04,1.000134193548387157e+04,1.002303741935483959e+04
1.000924258064516107e+04,9.988170322580645006e+03,9.975203870967741750e+03
1.005281677419354855e+04,1.001601806451612902e+04,9.979352258064516718e+03
1.002433806451612872e+04,9.939036129032258032e+03,9.983945806451612953e+03
9.960020645161290304e+03,9.979748387096773513e+03,9.981558709677419756e+03
9.991686451612902601e+03,9.919353548387096453e+03,9.918468387096774677e+03
9.991503225806451155e+03,9.982015483870967728e+03,9.977923870967741095e+03
1.001044774193548437e+04,9.979301935483870693e+03,9.978472258064515700e+03
9.977285161290323231e+03,1.001277032258064537e+04,1.005360387096774139e+04
1.001674322580645094e+04,9.960122580645162088e+03,1.003249032258064472e+04
1.002351741935483915e+04,1.003122580645161361e+04,9.961748387096773513e+03
1.000221419354838690e+04,9.899621935483870402e+03,9.998201290322580462e+03
1.000076387096774124e+04,1.000467225806451643e+04,9.999209032258064326e+03
9.973545806451613316e+03,9.999112258064516936e+03,9.954042580645162161e+03
9.944619354838709114e+03,1.001332774193548357e+04,9.979660645161289722e+03
9.972980645161289431e+03,1.000306451612903220e+04,1.002732516129032228e+04
9.976442580645161797e+03,9.989956129032258104e+03,1.004941548387096736e+04
9.952896774193548481e+03,1.003625677419354906e+04,9.982405161290322212e+03
9.976979354838709696e+03,1.000607870967742019e+04,9.983601290322580098e+03
1.008765548387096715e+04,1.000895999999999913e+04,9.983652903225805858e+03
1.000065677419354870e+04,9.990739354838709914e+03,9.958930322580645225e+03
1.001253161290322532e+04,1.002485806451612916e+04,9.989698064516129307e+03
9.997538064516129452e+03,9.960833548387096016e+03,9.934485161290322139e+03
9.927099354838710497e+03,1.001770580645161317e+04,1.001481677419354855e+04
1.002565032258064457e+04,9.978050322580646025e+03,1.000501290322580644e+04
1.005163483870967684e+04,1.001652000000000044e+04,1.001645032258064566e+04
9.965992258064516136e+03,9.942296774193548117e+03,1.000089419354838719e+04
9.969362580645161870e+03,1.004782322580645086e+04,1.002970064516129059e+04
9.983594838709677788e+03,1.001881806451612829e+04,1.003066451612903256e+04
1.006074580645161222e+04,9.979267096774194215e+03,1.003385548387096787e+04
9.955121290322580535e+03,1.002396903225806454e+04,1.003100258064516129e+04
9.974685161290322867e+03,1.012763999999999942e+04,1.003336774193548445e+04
1.004857161290322620e+04,9.963633548387097107e+03,1.002904258064516216e+04
1.002472903225806476e+04,9.976980645161289431e+03,9.967468387096774677e+03
1.000405290322580731e+04,1.001701032258064515e+04,9.970950967741935528e+03
1.001511741935483951e+04,9.968932903225806513e+03,1.002500129032258155e+04
1.000522580645161361e+04,9.977945806451612953e+03,9.975341935483871566e+03
